X,Y,Z
-2707005.445516,4688735.560783,3360454.996093
-2707005.227516,4688735.778783,3360455.214093
-2707005.008516,4688735.997783,3360455.433092
-2707001.701270,4688740.152939,3360458.094075
-2707004.540238,4688736.473553,3360455.895659
-2707004.318238,4688736.695553,3360456.117658
-2707004.095238,4688736.918553,3360456.340658
-2707003.871238,4688737.142553,3360456.564657
-2707003.646238,4688737.367553,3360456.789657
-2707003.420238,4688737.593553,3360457.015656
-2707003.193238,4688737.820553,3360457.242656
-2707002.965238,4688738.048553,3360457.470655
-2707002.736238,4688738.277553,3360457.699655
-2706998.323594,4688742.013906,3360451.627118
-2707002.238136,4688738.769656,3360458.104748
-2707002.006136,4688739.001656,3360458.336747
-2707001.773136,4688739.234656,3360458.569747
-2707001.539136,4688739.468656,3360458.803746
-2707001.304136,4688739.703656,3360459.038746
-2707001.068136,4688739.939656,3360459.274745
-2707000.831136,4688740.176656,3360459.511745
-2707000.593136,4688740.414656,3360459.749744
-2707000.354136,4688740.653656,3360459.988744
-2707001.005428,4688743.606338,3360459.706829
-2706999.881068,4688741.158795,3360460.465098
-2706999.639068,4688741.400795,3360460.707098
-2706999.396068,4688741.643795,3360460.950097
-2706999.152068,4688741.887795,3360461.194097
-2706998.907068,4688742.132795,3360461.439096
-2706998.661068,4688742.378795,3360461.685096
-2706998.414068,4688742.625795,3360461.932095
-2706998.166068,4688742.873795,3360462.180094
-2706997.917068,4688743.122795,3360462.429094
-2706993.671976,4688743.699728,3360457.160569
-2706997.380423,4688743.626712,3360462.880855
-2706997.128423,4688743.878712,3360463.132855
-2706996.875423,4688744.131712,3360463.385854
-2706996.621423,4688744.385712,3360463.639854
-2706996.366423,4688744.640712,3360463.894853
-2706996.110423,4688744.896712,3360464.150852
-2706995.853423,4688745.153712,3360464.407852
-2706995.595423,4688745.411712,3360464.665851
-2706995.336423,4688745.670712,3360464.924851
-2706990.385868,4688741.486581,3360463.509117
-2706994.773483,4688746.151975,3360465.430866
-2706994.511483,4688746.413975,3360465.692866
-2706994.248483,4688746.676975,3360465.955865
-2706993.984483,4688746.940975,3360466.219865
-2706993.719483,4688747.205975,3360466.484864
-2706993.453483,4688747.471975,3360466.750863
-2706993.186483,4688747.738975,3360467.017863
-2706992.918483,4688748.006975,3360467.285862
-2706992.649483,4688748.275975,3360467.554862
-2706995.089040,4688755.189261,3360471.527681
-2706992.132753,4688748.876480,3360468.129027
-2706991.860753,4688749.148480,3360468.401027
-2706991.587753,4688749.421480,3360468.674026
-2706991.313753,4688749.695480,3360468.948025
-2706991.038753,4688749.970480,3360469.223025
-2706990.762753,4688750.246480,3360469.499024
-2706990.485753,4688750.523480,3360469.776024
-2706990.207753,4688750.801480,3360470.054023
-2706989.928753,4688751.080480,3360470.333023
-2706988.590496,4688753.998374,3360472.033454
-2706989.358260,4688751.665142,3360470.906763
-2706989.076260,4688751.947142,3360471.188762
-2706988.793260,4688752.230142,3360471.471761
-2706988.509260,4688752.514142,3360471.755761
-2706988.224260,4688752.799142,3360472.040760
-2706987.938261,4688753.085142,3360472.326760
-2706987.651261,4688753.372142,3360472.613759
-2706987.363261,4688753.660142,3360472.901758
-2706987.074261,4688753.949142,3360473.190758
-2706983.067020,4688752.355946,3360476.871799
-2706986.459878,4688754.513230,3360473.802210
-2706986.167878,4688754.805230,3360474.094209
-2706985.874878,4688755.098230,3360474.387209
-2706985.580878,4688755.392230,3360474.681208
-2706985.285878,4688755.687230,3360474.976207
-2706984.989878,4688755.983230,3360475.272207
-2706984.692879,4688756.280230,3360475.569206
-2706984.394879,4688756.578230,3360475.867206
-2706984.095879,4688756.877230,3360476.166205
-2706983.197315,4688757.981354,3360471.474140
-2706983.489498,4688757.485459,3360476.722330
-2706983.187498,4688757.787459,3360477.024329
-2706982.884498,4688758.090459,3360477.327329
-2706982.580498,4688758.394459,3360477.631328
-2706982.275498,4688758.699459,3360477.936327
-2706981.969498,4688759.005459,3360478.242327
-2706981.662499,4688759.312459,3360478.549326
-2706981.354499,4688759.620459,3360478.857325
-2706981.045499,4688759.929459,3360479.166325
-2706979.077517,4688761.354171,3360473.295229
-2706980.409583,4688760.560487,3360479.731718
-2706980.097583,4688760.872487,3360480.043717
-2706979.784584,4688761.185487,3360480.356717
-2706979.470584,4688761.499487,3360480.670716
